"post_id","party_name","case_number","case_type","case_status","file_date","status_date"
54281145,North Middlesex Savings Bank,"15 SM 006299",Servicemembers,Closed,20150730,20151022
54375464,North Middlesex Savings Bank,"1381CV01044",Contract / Business Cases,Closed,20130326,20140122
55018468,North Middlesex Savings Bank,"1381CV04757",Real Property,Closed,20131031,20140213
55029123,North Middlesex Savings Bank,"1381CV04756",Real Property,Closed,20131031,20140213
55342446,North Middlesex Savings Bank,"1281CV03563",Real Property,Closed,20120906,20121123
55677342,North Middlesex Savings Bank,"13 MISC 479735",Servicemembers,Open,20130925,20130925
56090232,North Middlesex Savings Bank,"16 SM 000139",Servicemembers,Open,20160106,20160106
56688963,North Middlesex Savings Bank,"1181CV03306",Real Property,Closed,20110916,20111209
56690587,North Middlesex Savings Bank,"1181CV03307",Real Property,Closed,20110916,20111209
57899605,North Middlesex Savings Bank,"1081CV03430",Real Property,Closed,20100910,20101112
58277978,North Middlesex Savings Bank,"1081CV04337",Real Property,Closed,20101117,20110511
59229873,North Middlesex Savings Bank,"1281CV01067",Real Property,Closed,20120320,20120518
59276969,North Middlesex Savings Bank,"1281CV01144",Real Property,Closed,20120326,20130226
59431995,North Middlesex Savings Bank,"1281CV00033",Real Property,Closed,20120104,20120313
59464122,North Middlesex Savings Bank,"1081CV02833",Real Property,Closed,20100728,20101007
59558092,North Middlesex Savings Bank,"16 SM 002042",Servicemembers,Open,20160226,20160226
60712917,North Middlesex Savings Bank,"10 MISC 421886",Servicemembers,Closed,20100204,20100518
60769528,North Middlesex Savings Bank,"10 MISC 421888",Servicemembers,Closed,20100204,20100518
61078509,North Middlesex Savings Bank,"10 MISC 422105",Servicemembers,Closed,20100208,20100518
61093879,North Middlesex Savings Bank,"10 MISC 422145",Servicemembers,Closed,20100208,20100518
61339666,North Middlesex Savings Bank,"16 SM 001220",Servicemembers,Closed,20160209,20160513
61384598,North Middlesex Savings Bank,"11 MISC 451313",Servicemembers,Closed,20110728,20111027
61499460,North Middlesex Savings Bank,"16 SM 010808",Servicemembers,Open,20161109,20161109
61512381,North Middlesex Savings Bank,"1181CV02309",Real Property,Closed,20110630,20110920
63105550,North Middlesex Savings Bank,"16 SM 002620",Servicemembers,Open,20160311,20160311
64454308,North Middlesex Savings Bank,"0781CV00590",Contract / Business Cases,Closed,20070213,20071108
65097108,North Middlesex Savings Bank,"16 SM 010508",Servicemembers,Open,20161031,20161031
